,Trial_IDs,Transition,P1_IN_Ephys_TS,P1_OUT_Ephys_TS,P2_IN_Ephys_TS,P2_OUT_Ephys_TS,Latency,RewardEphysTS
245,42,16,597.6735666666667,597.9314666666667,599.2113666666667,599.3466666666667,1.5377999999999474,NaN
246,42,61,599.2113666666667,599.3466666666667,600.3253666666667,600.5838666666667,1.1140000000000327,NaN
247,42,16,600.3253666666667,600.5838666666667,601.1577666666667,601.2256666666667,0.8324000000000069,NaN
248,42,66,601.1577666666667,601.2256666666667,601.4106666666667,601.4585666666667,0.25289999999995416,NaN
249,42,11,603.8385000000001,604.5010000000002,605.8047,605.8753,1.966199999999958,NaN
250,42,11,605.8047,605.8753,606.0899000000001,606.7986000000001,0.28520000000003165,NaN
251,42,72,610.6589,610.7077,611.5016,611.5017,0.8427000000000362,NaN
252,42,21,611.5018,611.5478,612.4439000000002,612.7085000000001,0.942100000000096,NaN
253,42,16,612.4439000000002,612.7085000000001,613.1652666666666,613.2218666666666,0.7211999999999534,NaN
254,42,63,613.1652666666666,613.2218666666666,613.8043666666666,613.9982666666666,0.6390999999999849,NaN
255,42,37,613.8043666666666,613.9982666666666,614.3259666666667,615.9057666666666,0.5216000000000349,614.3259666666667
256,43,11,617.1921000000001,617.7551000000001,618.5121000000003,618.7739000000003,1.32000000000005,NaN
257,43,12,618.5121000000003,618.7739000000003,619.6798,619.7939000000001,1.167699999999968,NaN
258,43,21,619.6798,619.7939000000001,620.1834000000001,620.1962000000001,0.5036000000000058,NaN
259,43,11,620.2195000000003,620.2529000000001,620.5195000000001,620.5574000000003,0.2999999999999545,NaN
260,43,16,620.5195000000001,620.5574000000003,621.2866666666669,621.2964666666667,0.7670000000000528,NaN
261,43,63,621.2866666666669,621.2964666666667,621.8251666666669,621.8252666666668,0.5384999999999991,NaN
262,43,37,621.8256666666668,621.9986666666668,622.3576666666667,624.5148666666666,0.5319999999999254,622.3576666666667
263,44,21,649.0520333333334,649.1602333333334,649.6288333333334,649.8904333333334,0.5768000000000484,NaN
264,44,16,649.6288333333334,649.8904333333334,650.5551333333334,650.5846333333334,0.9262999999999691,NaN
265,44,63,650.5551333333334,650.5846333333334,651.0576,651.0577,0.5022999999999911,NaN
266,44,33,651.0578,651.2515,651.6017,651.6622,0.5439000000000078,NaN
267,44,37,651.6017,651.6622,651.965,653.3191,0.3632999999999811,651.965
268,45,72,654.3239333333333,654.3598333333335,654.9139333333334,654.9698333333336,0.5900000000000318,NaN
269,45,21,654.9139333333334,654.9698333333336,655.3801333333333,655.4654333333334,0.466199999999958,NaN
270,45,16,655.5156333333335,655.6132333333334,656.6018000000001,656.6095000000001,1.0860000000000127,NaN
271,45,63,656.6018000000001,656.6095000000001,657.1835,657.1836,0.5816999999999553,NaN
272,45,37,657.3969999999999,657.5522,657.877,659.2470999999999,0.4800000000000182,657.877
273,46,21,660.6010333333334,660.6604333333333,661.0821333333333,661.2186333333333,0.4810999999999694,NaN
274,46,16,661.0821333333333,661.2186333333333,662.3962,662.4111,1.3138999999999896,NaN
275,46,63,662.3962,662.4111,662.921,662.9211,0.5248000000000275,NaN
276,46,37,662.9214,663.2147,663.5551,665.115,0.6336999999999762,663.5551
